MJD	log10(E)	ang_err	RA	Dec
   55698      4.7      0.5    355.9    -36.4
   55698      4.7      2.7    143.0     -9.2
   55698      4.9      0.2     68.8    -56.4
   55698      5.1      0.8     19.1    -62.9
   55698      4.7      0.2    198.1    -73.1
   55698      4.5      0.2    277.6    -16.1
   55698      4.2      0.2    244.4    -22.0
   55698      4.6      0.2    333.2    -42.9
   55698      4.7      0.3    289.2    -27.5
   55698      5.0      0.3    177.3    -63.5
   55698      3.8      0.6    228.3    -21.5
   55698      4.0      0.7    244.3    -26.7
   55698      4.7      0.2    167.5    -73.9
   55698      4.4      0.2    241.5    -30.3
   55698      4.1      1.7     56.7    -42.0
   55698      4.3      0.6    318.7    -75.3
   55698      4.9      0.2    167.8    -57.5
   55698      4.2      0.2    112.6    -56.4
   55698      5.4      0.3    173.6    -39.5
   55698      4.9      0.7     34.8    -66.9
   55698      2.8      0.7    180.7     -9.8
   55698      4.7      0.2    287.3    -27.5
   55698      4.5      1.1     93.5    -53.3
   55698      4.9      0.3    249.2    -52.4
   55698      4.1      0.6    227.2    -35.4
   55698      5.2      0.5     80.3    -52.7
   55698      4.5      4.7    272.4    -36.0
   55698      4.1      0.2    277.6    -33.8
   55698      4.7      0.2    104.5    -40.3
   55698      3.8      0.2     40.0    -18.1
   55698      3.7      0.2    350.6     -8.9
   55698      3.8      0.2     40.6    -52.3
   55698      5.4      0.8    189.6    -46.7
   55698      3.6      0.2     61.2    -12.7
   55698      5.0      0.7    109.3    -25.4
   55698      3.4      0.8    323.5     -9.4
   55698      4.9      0.9    255.4    -69.1
   55698      4.6      0.2    258.7    -16.5
   55698      5.1      2.6    292.6    -46.3
   55698      5.6      1.8    249.7    -39.6
   55698      4.9      0.3    118.7    -36.8
   55698      4.0      0.3    294.6    -30.8
   55698      3.8      1.0    338.5    -13.8
   55698      3.6      0.3    214.5    -14.4
   55698      3.1      0.5     89.8     -7.3
   55698      5.2      0.3    100.0    -27.9
   55698      5.1      0.7    241.3    -62.3
   55698      4.8      0.3    123.1    -45.4
   55698      4.5      7.4     92.9    -43.8
   55698      4.3      0.2    277.5    -21.3
   55698      5.2      1.9      5.3    -37.7
   55698      5.0      0.6     76.3    -61.6
   55698      4.9      0.4     70.4    -67.8
   55698      5.4      1.3    189.6    -40.2
   55698      5.6      3.7     22.6    -55.6
   55698      3.5      0.5    107.7    -17.1
   55698      4.6      0.4    107.4    -37.3
   55698      3.8      0.2    238.7    -17.5
   55698      4.2      0.2    110.3    -30.7
   55698      4.6      0.3    158.8    -38.6
   55698      3.7      0.2      1.9    -29.2
   55698      4.6      2.4     14.1    -43.3
   55698      4.2      0.2    297.1    -21.0
   55698      4.4      0.6    151.5    -48.1
   55698      4.4      0.3    298.3    -13.1
   55698      4.1      0.2    333.7    -31.5
   55698      3.9      1.2    112.6    -13.7
   55698      4.4      0.8     95.9    -17.3
   55698      3.7      0.2    110.7     -8.2
   55698      4.9      0.2    122.2    -23.7
   55698      3.5      0.2    185.0    -24.6
   55698      3.5      0.2     46.3    -15.8
   55698      5.1      0.6    287.4    -52.9
   55698      5.2      0.6    156.0    -61.7
   55698      5.8      6.5     69.6    -72.0
   55698      3.4      0.1    182.5    -14.6
   55698      4.6      0.3    293.1    -72.3
   55698      4.6      0.3    291.4    -25.4
   55698      2.7      0.9    339.0     -7.7
   55698      2.8      0.9    136.1    -30.2
   55698      3.9      0.2     67.3    -20.6
   55698      4.7      0.8      1.0    -30.0
   55698      4.0      2.6     22.3    -84.5
   55698      3.9      0.4    170.7    -52.0
   55698      5.0      1.2      4.4    -34.0
   55698      4.7      0.4      1.2    -68.2
   55698      4.9      0.6    165.1    -36.3
   55698      4.6      2.1    166.4    -30.8
   55698      4.8      0.3    145.8    -41.0
   55698      5.1      0.2    281.2    -53.1
   55698      3.8      0.4    359.8    -23.0
   55698      5.2      0.9     44.3    -45.6
   55698      4.6      0.2    343.2    -65.8
   55698      4.3      0.3    317.4    -34.0
   55698      4.7      0.2    192.1    -55.9
   55698      4.7      1.2    336.6    -40.1
   55698      4.6      0.2     89.4    -35.7
   55698      4.4      0.3    342.7    -47.0
   55698      4.9      1.1    221.8    -35.2
   55698      5.1      0.4    102.8    -46.0
   55698      4.1      1.5     74.7    -24.8
   55698      5.1      1.9      6.0    -67.5
   55698      3.6      0.2    186.6    -10.8
   55698      5.0      0.3    348.8    -36.4
   55698      5.1      0.3    166.3    -28.7
   55698      4.9      0.6    108.8    -42.9
   55698      5.1      1.3    212.7    -33.7
   55698      4.8      0.3    126.7    -30.4
   55698      4.0      0.7    168.7    -11.8
   55698      4.2      0.3     83.5    -24.1
   55698      5.6      2.2    242.2    -42.3
   55698      3.7      0.3     33.3    -19.4
   55698      4.9      0.6    275.5    -43.5
   55698      3.2      0.7    285.0     -5.2
   55698      3.6      0.9    263.5     -8.3
   55698      4.9      5.1    221.6    -43.5
   55698      4.9      1.1    166.7    -78.5
   55698      6.3      8.6    221.5    -62.0
